name_x,abv,ibu,id,style,brewery_id,ounces,name_y,city,state,region
House Brand IPA,0.06,55,632,American IPA,519,12,Big River Brewing Company,Chattanooga,TN,south
Big Sky IPA,0.062,65,1714,American IPA,336,12,Big Sky Brewing Company,Missoula,MT,west
Scape Goat Pale Ale,0.05,40,1713,English Pale Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Montana Trout Slayer Ale,0.05,35,1712,American Pale Wheat Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Moose Drool Brown Ale,0.051,26,1711,American Brown Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Powder Hound Winter Ale,0.072,60,1456,English Strong Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Moose Drool Brown Ale (2011),0.051,26,767,American Brown Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Montana Trout Slayer Ale (2012),0.05,35,766,American Pale Wheat Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Big Sky IPA (2012),0.062,65,579,American IPA,336,12,Big Sky Brewing Company,Missoula,MT,west
Scape Goat Pale Ale (2010),0.05,40,159,English Pale Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Montana Trout Slayer Ale (2009),0.05,35,35,American Pale Wheat Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Moose Drool Brown Ale (2009),0.051,26,34,American Brown Ale,336,12,Big Sky Brewing Company,Missoula,MT,west
Arcus IPA,0.069,81,2096,American IPA,221,12,Big Storm Brewing Company,Odessa,FL,south
Wavemaker,0.058,38,2095,American Amber / Red Ale,221,12,Big Storm Brewing Company,Odessa,FL,south
Jack Pine Savage,0.053,43,1257,American Pale Ale (APA),444,16,Big Wood Brewery,Vadnais Heights,MN,midwest
Forest Fire Imperial Smoked Rye,0.099,85,1256,Rye Beer,444,16,Big Wood Brewery,Vadnais Heights,MN,midwest
Bad Axe Imperial IPA,0.098,76,1255,American Double / Imperial IPA,444,16,Big Wood Brewery,Vadnais Heights,MN,midwest
Morning Wood,0.055,35,986,Oatmeal Stout,444,16,Big Wood Brewery,Vadnais Heights,MN,midwest
Bark Bite IPA,0.066,50,985,American IPA,444,16,Big Wood Brewery,Vadnais Heights,MN,midwest
Jalapeno Pale Ale,0.055,45,2508,American Pale Ale (APA),70,16,Birdsong Brewing Company,Charlotte,NC,south
Saucy Intruder,0.072,75,2620,Rye Beer,18,16,Black Acre Brewing Co.,Indianapolis,IN,midwest
Deception,0.045,16,2412,American Blonde Ale,112,12,Black Market Brewing Company,Temecula,CA,west
Blackmarket Rye IPA,0.075,35,1898,American IPA,112,12,Black Market Brewing Company,Temecula,CA,west
Black Market Hefeweizen,0.05,8,1897,Hefeweizen,112,12,Black Market Brewing Company,Temecula,CA,west
Aftermath Pale Ale,0.058,44,1896,American Pale Ale (APA),112,12,Black Market Brewing Company,Temecula,CA,west
American India Red Ale,0.071,83,1850,American Strong Ale,294,12,Black Shirt Brewing Company,Denver,CO,west
American Red Porter,0.071,45,1849,American Porter,294,12,Black Shirt Brewing Company,Denver,CO,west
American Red Saison,0.078,34,1848,Saison / Farmhouse Ale,294,12,Black Shirt Brewing Company,Denver,CO,west
Colorado Red Ale,0.066,44,1847,American Amber / Red Ale,294,12,Black Shirt Brewing Company,Denver,CO,west
Saddle Bronc Brown Ale,0.048,16,2485,American Brown Ale,79,12,Black Tooth Brewing Company,Sheridan,WY,west
Bomber Mountain Amber Ale,0.046,20,2484,American Amber / Red Ale,79,12,Black Tooth Brewing Company,Sheridan,WY,west
Nordskye ,0.048,47,2634,American IPA,12,12,Blackrocks Brewery,Marquette,MI,midwest
North Third Stout,0.06,30,2153,Foreign / Export Stout,12,12,Blackrocks Brewery,Marquette,MI,midwest
51K IPA,0.07,51,1481,American IPA,12,12,Blackrocks Brewery,Marquette,MI,midwest
1327 Pod's ESB,0.056,37,888,Extra Special / Strong Bitter (ESB),380,12,Blue Blood Brewing Company,Lincoln,NE,midwest
834 Happy As Ale,0.046,35,611,American Pale Ale (APA),380,12,Blue Blood Brewing Company,Lincoln,NE,midwest
Quarter Mile Double IPA,0.08,80,1812,American Double / Imperial IPA,304,12,Blue Hills Brewery,Canton,MA,northeast
Full Nelson Pale Ale,0.059,60,1547,American Pale Ale (APA),382,12,Blue Mountain Brewery,Afton,VA,south
Steel Wheels ESB,0.065,30,1546,Extra Special / Strong Bitter (ESB),382,12,Blue Mountain Brewery,Afton,VA,south
Blue Mountain Classic Lager,0.053,22,1545,Euro Pale Lager,382,12,Blue Mountain Brewery,Afton,VA,south
Full Nelson Pale Ale (2010),0.059,60,119,American Pale Ale (APA),382,12,Blue Mountain Brewery,Afton,VA,south
Kölsch 151,0.049,16,1408,Kölsch,414,12,Blue Mountain Brewery,Arrington,VA,south
Blue Point White IPA,0.06,40,692,American White IPA,489,12,Blue Point Brewing Company,Patchogue,NY,northeast
Blue Point Summer Ale,0.044,16,667,American Blonde Ale,489,12,Blue Point Brewing Company,Patchogue,NY,northeast
Toasted Lager,0.055,28,665,Vienna Lager,489,12,Blue Point Brewing Company,Patchogue,NY,northeast
Longhop IPA,0.042,30,1891,American IPA,281,16,Bolero Snort Brewery,Ridgefield Park,NJ,northeast
Lucky Buck,0.04,34,1890,Irish Dry Stout,281,16,Bolero Snort Brewery,Ridgefield Park,NJ,northeast
Bomb Lager (Old Recipe),0.045,27,513,Munich Helles Lager,525,12,Bomb Beer Company,New York,NY,northeast
Firestarter India Pale Ale,0.066,72,2422,American IPA,107,12,Bonfire Brewing Company,Eagle,CO,west
Kilt Dropper Scotch Ale,0.075,22,1727,Scotch Ale / Wee Heavy,107,16,Bonfire Brewing Company,Eagle,CO,west
Wood Splitter Pilsner,0.048,30,1614,Czech Pilsener,107,16,Bonfire Brewing Company,Eagle,CO,west
Gyptoberfest,0.056,26,1613,Märzen / Oktoberfest,107,12,Bonfire Brewing Company,Eagle,CO,west
Farmer Wirtz India Pale Ale,0.07,94,1549,English India Pale Ale (IPA),107,16,Bonfire Brewing Company,Eagle,CO,west
Screaming Eagle Special Ale ESB,0.048,38,1360,Extra Special / Strong Bitter (ESB),107,12,Bonfire Brewing Company,Eagle,CO,west
Kindler Pale Ale,0.053,45,1183,American Pale Ale (APA),107,12,Bonfire Brewing Company,Eagle,CO,west
Noche Dulce,0.071,16,2062,American Porter,231,16,Borderlands Brewing Company,Tucson,AZ,west
Porch Rocker,0.045,8,1830,Radler,300,12,Boston Beer Company,Boston,MA,northeast
Rebel IPA,0.065,45,1629,American IPA,300,16,Boston Beer Company,Boston,MA,northeast
Boston Lager,0.049,30,1349,Vienna Lager,300,16,Boston Beer Company,Boston,MA,northeast
Samuel Adams Octoberfest,0.053,15,1281,Märzen / Oktoberfest,300,12,Boston Beer Company,Boston,MA,northeast
Samuel Adams Summer Ale,0.053,7,1144,American Pale Wheat Ale,300,12,Boston Beer Company,Boston,MA,northeast
Hazed & Infused,0.049,35,1395,American Pale Ale (APA),417,12,Boulder Beer Company,Boulder,CO,west
Hoopla Pale Ale,0.057,35,808,American Pale Ale (APA),417,12,Boulder Beer Company,Boulder,CO,west
Hazed & Infused (2010),0.049,35,81,American Pale Ale (APA),417,12,Boulder Beer Company,Boulder,CO,west
Heavy Lifting,0.062,80,2596,American IPA,31,12,Boulevard Brewing Company,Kansas City,MO,midwest
Plum St. Porter,0.06,52,2107,American Porter,219,12,Bozeman Brewing Company,Bozeman,MT,west
Bozone HopZone IPA,0.07,80,1289,American IPA,219,12,Bozeman Brewing Company,Bozeman,MT,west
Bozone Hefe Weizen,0.06,25,1288,Hefeweizen,219,12,Bozeman Brewing Company,Bozeman,MT,west
Evil Owl,0.052,40,2167,American Amber / Red Ale,207,12,Branchline Brewing Company,San Antonio,TX,south
Agave Wheat,0.042,9,1522,American Pale Wheat Ale,391,12,Breckenridge Brewery,Denver,CO,west
SummerBright Ale,0.045,15,397,American Pale Wheat Ale,391,12,Breckenridge Brewery,Denver,CO,west
Lucky U IPA,0.062,68,193,American IPA,391,12,Breckenridge Brewery,Denver,CO,west
Avalanche Ale,0.054,19,83,American Amber / Red Ale,391,12,Breckenridge Brewery,Denver,CO,west
Last Stop IPA,0.072,60,1801,American IPA,308,12,Brew Bus Brewing,Tampa,FL,south
Rollin Dirty Red Ale,0.05,21,1800,Irish Red Ale,308,12,Brew Bus Brewing,Tampa,FL,south
Are Wheat There Yet?,0.055,28,1799,American Pale Wheat Ale,308,12,Brew Bus Brewing,Tampa,FL,south
Northern Lights Amber Ale,0.05,15,921,American Amber / Red Ale,493,12,Broken Tooth Brewing Company,Anchorage,AK,west
Polar Pale Ale,0.052,17,920,American Pale Ale (APA),493,12,Broken Tooth Brewing Company,Anchorage,AK,west
Fairweather IPA,0.061,64,648,American IPA,493,12,Broken Tooth Brewing Company,Anchorage,AK,west
East India Pale Ale,0.068,47,1279,English India Pale Ale (IPA),437,16,Brooklyn Brewery,Brooklyn,NY,northeast
Black Adder IBA (Current),0.073,85,383,American Black Ale,530,16,Buckbean Brewing Company,Reno,NV,west
Tule Duck Red Ale (Current),0.062,42,28,American Amber / Red Ale,530,16,Buckbean Brewing Company,Reno,NV,west
Original Orange Blossom Ale (Current),0.058,35,27,Herbed / Spiced Beer,530,16,Buckbean Brewing Company,Reno,NV,west
Black Noddy Lager (Current),0.052,40,26,Schwarzbier,530,16,Buckbean Brewing Company,Reno,NV,west
1836,0.06,40,2125,American Blonde Ale,214,12,Buffalo Bayou Brewing Company,Houston,TX,south
Summer's Wit,0.06,20,2124,Witbier,214,12,Buffalo Bayou Brewing Company,Houston,TX,south
More Cowbell,0.09,118,2123,American Double / Imperial IPA,214,16,Buffalo Bayou Brewing Company,Houston,TX,south
Pale Alement,0.055,40,2478,American Pale Ale (APA),24,12,Burn 'Em Brewing,Michigan City,IN,midwest
Hopkick Dropkick,0.099,115,2471,American Double / Imperial IPA,24,12,Burn 'Em Brewing,Michigan City,IN,midwest
Joey Wheat,0.068,16,2160,American Pale Wheat Ale,24,16,Burn 'Em Brewing,Michigan City,IN,midwest
3:33 Black IPA,0.072,86,2158,American IPA,24,16,Burn 'Em Brewing,Michigan City,IN,midwest
Couch Select Lager,0.05,14,2196,American Pale Lager,197,12,Burnside Brewing Co.,Portland,OR,west
Mucho Aloha Hawaiian Pale Ale,0.056,36,668,American Pale Ale (APA),517,12,Butcher's Brewing,Carlsbad,CA,west
Horny Toad Cerveza,0.053,25,2214,American Blonde Ale,182,16,COOP Ale Works,Oklahoma City,OK,south
Native Amber,0.063,35,2213,American Amber / Red Ale,182,16,COOP Ale Works,Oklahoma City,OK,south
F5 IPA,0.068,100,1442,American IPA,182,16,COOP Ale Works,Oklahoma City,OK,south
Native Amber (2013),0.063,35,170,American Amber / Red Ale,182,16,COOP Ale Works,Oklahoma City,OK,south
Horny Toad Cerveza (2013),0.053,25,169,American Blonde Ale,182,16,COOP Ale Works,Oklahoma City,OK,south
Hopportunity Knocks IPA,0.068,100,2315,American IPA,155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale,0.056,55,1419,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
Lawnmower Lager,0.039,16,878,American Adjunct Lager,155,12,Caldera Brewing Company,Ashland,OR,west
Ashland Amber Ale (2009),0.054,24,794,American Amber / Red Ale,155,12,Caldera Brewing Company,Ashland,OR,west
Caldera IPA (2009),0.061,94,793,American IPA,155,12,Caldera Brewing Company,Ashland,OR,west
Caldera IPA (2007),0.061,94,792,American IPA,155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale (2010),0.056,55,791,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale (2009),0.056,55,790,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale (2005),0.056,55,789,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale (2007),0.056,55,788,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
Caldera Pale Ale (2011),0.056,55,38,American Pale Ale (APA),155,12,Caldera Brewing Company,Ashland,OR,west
