,Unnamed: 0,abv,ibu,id,name_x,style,brewery_id,ounces,name_y,city,state,region
51,86,0.053,36.0,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,Alameda Brewing,Portland,OR,west
52,87,0.08199999999999999,103.0,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,Alameda Brewing,Portland,OR,west
53,88,0.053,40.0,1921,Freeride APA,American Pale Ale (APA),270,12.0,Alaskan Brewing Company,Juneau,AK,west
54,89,0.053,18.0,1920,Alaskan Amber,Altbier,270,12.0,Alaskan Brewing Company,Juneau,AK,west
55,95,0.062,43.0,837,Desolation IPA,American IPA,401,16.0,Amnesia Brewing Company,Washougal,WA,west
56,105,0.057,13.0,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
57,106,0.056,4.0,1350,Summer Solstice,Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
58,107,0.07,80.0,1327,Hop Ottin' IPA,American IPA,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
59,108,0.058,15.0,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
60,110,0.055,25.0,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,Anderson Valley Brewing Company,Boonville,CA,west
61,111,0.058,15.0,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
62,112,0.056,4.0,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
63,113,0.057,13.0,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
64,114,0.069,6.0,523,Winter Solstice,Winter Warmer,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
65,115,0.07,80.0,367,Hop Ottin' IPA (2011),American IPA,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
66,116,0.058,15.0,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville,CA,west
